Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,151.000000,157.750000,150.000000,150.619995,149.839462,70219600
2020-03-10,158.160004,161.029999,152.580002,160.919998,160.086090,65354400
2020-03-11,157.130005,157.699997,151.149994,153.630005,152.833878,56371600
2020-03-12,145.300003,153.470001,138.580002,139.059998,138.339371,93226400
2020-03-13,147.500000,161.910004,140.729996,158.830002,158.006912,92727400
2020-03-16,140.000000,149.350006,135.000000,135.419998,134.718231,87905900
2020-03-17,140.000000,147.500000,135.000000,146.570007,145.810471,81059800
2020-03-18,138.000000,146.000000,135.020004,140.399994,139.672424,81593200
2020-03-19,142.770004,150.149994,139.000000,142.710007,141.970474,85922700
2020-03-20,146.000000,147.100006,135.860001,137.350006,136.638245,84866200
2020-03-23,137.009995,140.570007,132.520004,135.979996,135.275345,78975200
2020-03-24,143.750000,149.600006,141.270004,148.339996,147.571289,82516700
2020-03-25,148.910004,154.330002,144.440002,146.919998,146.158630,75638200
2020-03-26,148.399994,156.660004,148.369995,156.110001,155.301025,64568100
2020-03-27,151.750000,154.889999,149.199997,149.699997,148.924225,57042300
2020-03-30,152.440002,160.600006,150.009995,160.229996,159.399673,63420300
2020-03-31,159.399994,164.779999,156.559998,157.710007,156.892731,77927200
2020-04-01,153.000000,157.750000,150.820007,152.110001,151.321747,57969900
2020-04-02,151.860001,155.479996,150.360001,155.259995,154.455414,49630700
2020-04-03,155.100006,157.380005,152.190002,153.830002,153.032837,41243300
2020-04-06,160.320007,166.500000,157.580002,165.270004,164.413544,67111700
2020-04-07,169.589996,170.000000,163.259995,163.490005,162.642776,62769000
2020-04-08,165.669998,166.669998,163.500000,165.130005,164.274277,48318200
2020-04-09,166.360001,167.369995,163.330002,165.139999,164.284225,51431800
2020-04-13,164.350006,165.570007,162.300003,165.509995,164.652313,41905300
2020-04-14,169.000000,173.750000,168.000000,173.699997,172.799866,52874300
2020-04-15,171.199997,173.570007,169.240005,171.880005,170.989304,40940800
2020-04-16,174.300003,177.279999,172.899994,177.039993,176.122543,50479600
2020-04-17,179.500000,180.000000,175.869995,178.600006,177.674484,52765600
2020-04-20,176.630005,178.750000,174.990005,175.059998,174.152817,36669600
2020-04-21,173.500000,173.669998,166.110001,167.820007,166.950348,56203700
2020-04-22,171.389999,174.000000,170.820007,173.520004,172.620804,34651600
2020-04-23,174.110001,175.059998,170.910004,171.419998,170.531677,32790800
2020-04-24,172.059998,174.559998,170.710007,174.550003,173.645462,34305300
2020-04-27,176.589996,176.899994,173.300003,174.050003,173.148056,33194400
2020-04-28,175.589996,175.669998,169.389999,169.809998,168.930023,34392700
2020-04-29,173.220001,177.679993,171.880005,177.429993,176.510529,51286600
2020-04-30,180.000000,180.399994,176.229996,179.210007,178.281311,53661300
2020-05-01,175.800003,178.639999,174.009995,174.570007,173.665375,39370500
2020-05-04,174.490005,179.000000,173.800003,178.839996,177.913223,30372900
2020-05-05,180.619995,183.649994,179.899994,180.759995,179.823273,36839200
2020-05-06,182.080002,184.199997,181.630005,182.539993,181.594055,32139300
2020-05-07,184.169998,184.550003,182.580002,183.600006,182.648575,28316000
2020-05-08,184.979996,185.000000,183.360001,184.679993,183.722946,30912600
2020-05-11,183.149994,187.509995,182.850006,186.740005,185.772293,30892700
2020-05-12,186.800003,187.039993,182.300003,182.509995,181.564194,32038200
2020-05-13,182.550003,184.050003,176.539993,179.750000,178.818512,44711500
2020-05-14,177.539993,180.690002,175.679993,180.529999,179.594467,41873900
2020-05-15,179.059998,187.059998,177.000000,183.160004,182.210846,46610400
2020-05-18,185.750000,186.199997,183.960007,184.910004,183.951767,35306600
2020-05-19,185.029999,186.600006,183.490005,183.630005,182.678406,26799100
2020-05-20,184.809998,185.850006,183.940002,185.660004,185.212280,31261300
2020-05-21,185.399994,186.669998,183.289993,183.429993,182.987656,29119500
2020-05-22,183.190002,184.460007,182.539993,183.509995,183.067459,20826900
2020-05-26,186.339996,186.500000,181.100006,181.570007,181.132156,36073600
2020-05-27,180.199997,181.990005,176.600006,181.809998,181.371567,39517100
2020-05-28,180.740005,184.149994,180.380005,181.399994,180.962555,33810200
2020-05-29,182.729996,184.270004,180.410004,183.250000,182.808090,42146700
2020-06-01,182.539993,183.000000,181.460007,182.830002,182.389114,22622400
2020-06-02,184.250000,185.000000,181.350006,184.910004,184.464096,30794600
2020-06-03,184.820007,185.940002,183.580002,185.360001,184.913010,27311000
2020-06-04,184.300003,185.839996,182.300003,182.919998,182.478882,28761800
2020-06-05,182.619995,187.729996,182.009995,187.199997,186.748566,39893600
2020-06-08,185.940002,188.550003,184.440002,188.360001,187.905777,33211600
2020-06-09,188.000000,190.699997,187.259995,189.800003,189.342300,29783900
